Date,Open,High,Low,Close,Volume
26/06/2013,1100,1100,910,910,1225250
27/06/2013,900,955,890,930,331450
28/06/2013,930,940,915,915,83200
01/07/2013,915,940,910,915,47875
02/07/2013,925,930,920,920,53125
03/07/2013,925,925,905,910,53175
04/07/2013,910,915,910,915,19025
05/07/2013,920,935,920,930,32725
08/07/2013,930,930,930,930,47150
09/07/2013,930,935,930,930,13000
10/07/2013,930,930,930,930,27425
11/07/2013,935,935,930,930,5125
12/07/2013,930,955,930,945,9750
15/07/2013,940,945,940,945,10225
16/07/2013,950,950,935,940,2225
17/07/2013,940,945,940,940,5925
18/07/2013,940,940,940,940,7450
19/07/2013,945,960,945,950,9675
22/07/2013,960,965,955,960,11775
23/07/2013,965,965,960,960,2200
24/07/2013,955,955,950,950,1325
25/07/2013,955,990,955,980,20975
26/07/2013,975,975,960,960,7175
29/07/2013,960,960,955,960,3675
30/07/2013,960,960,960,960,4825
31/07/2013,960,960,940,945,2850
01/08/2013,945,945,920,920,600
02/08/2013,920,920,885,900,6000
12/08/2013,935,935,935,935,25
13/08/2013,920,920,920,920,250
14/08/2013,905,910,905,910,875
15/08/2013,905,930,905,930,4325
16/08/2013,930,930,930,930,0
19/08/2013,925,925,890,895,1750
20/08/2013,885,885,880,880,4950
21/08/2013,880,880,875,875,200
22/08/2013,865,920,860,920,51075
23/08/2013,875,920,870,920,53900
26/08/2013,915,920,915,920,50800
27/08/2013,875,920,870,920,72175
28/08/2013,920,920,920,920,0
29/08/2013,920,920,920,920,1850
30/08/2013,920,920,920,920,2500
02/09/2013,930,930,900,900,75
03/09/2013,900,930,900,930,5250
04/09/2013,930,930,930,930,0
05/09/2013,930,1000,915,1000,2975
06/09/2013,930,930,930,930,25
09/09/2013,945,945,935,935,525
10/09/2013,950,950,905,915,325
11/09/2013,920,920,880,880,225
12/09/2013,930,940,930,940,450
13/09/2013,940,940,940,940,0
16/09/2013,940,940,940,940,0
17/09/2013,935,935,920,920,4850
18/09/2013,920,920,920,920,0
19/09/2013,915,950,915,950,125
20/09/2013,950,950,950,950,0
23/09/2013,900,900,900,900,75
24/09/2013,900,940,900,940,300
25/09/2013,940,940,940,940,0
26/09/2013,940,940,920,940,1725
27/09/2013,940,940,940,940,0
30/09/2013,940,940,940,940,0
01/10/2013,880,940,880,940,200
02/10/2013,940,950,940,950,50
03/10/2013,940,950,940,950,825
04/10/2013,950,950,950,950,2425
07/10/2013,950,950,940,940,125
08/10/2013,940,940,940,940,0
09/10/2013,925,940,925,940,75
10/10/2013,920,930,895,930,2500
11/10/2013,930,930,930,930,25
16/10/2013,900,900,880,880,250
17/10/2013,885,905,875,905,675
18/10/2013,920,920,920,920,51475
21/10/2013,920,920,920,920,0
22/10/2013,920,920,920,920,0
23/10/2013,920,960,920,960,2500
24/10/2013,960,960,920,920,125
25/10/2013,920,920,920,920,0
28/10/2013,920,920,905,905,150
29/10/2013,910,920,910,910,250
30/10/2013,905,905,905,905,200
31/10/2013,900,900,900,900,150
01/11/2013,880,880,880,880,25
04/11/2013,880,880,880,880,250
06/11/2013,880,880,880,880,25
07/11/2013,880,880,880,880,0
08/11/2013,880,880,880,880,200
11/11/2013,880,880,880,880,0
12/11/2013,885,885,880,880,300
13/11/2013,875,875,840,840,350
14/11/2013,880,880,880,880,25
15/11/2013,880,880,880,880,0
18/11/2013,910,910,910,910,50
19/11/2013,910,910,910,910,0
20/11/2013,880,920,880,920,75
21/11/2013,920,920,920,920,0
22/11/2013,920,940,920,940,350
25/11/2013,940,940,940,940,0
26/11/2013,940,940,940,940,0
27/11/2013,940,940,940,940,0
28/11/2013,940,940,940,940,0
29/11/2013,930,955,930,955,425
02/12/2013,955,955,955,955,0
03/12/2013,940,960,940,960,475
04/12/2013,940,960,940,960,2875
05/12/2013,960,960,960,960,0
06/12/2013,960,960,960,960,0
09/12/2013,960,960,960,960,0
10/12/2013,960,960,960,960,0
11/12/2013,960,960,960,960,0
12/12/2013,960,960,960,960,0
13/12/2013,880,940,875,940,1350
16/12/2013,940,940,940,940,0
17/12/2013,940,960,940,960,1000
18/12/2013,960,960,960,960,0
19/12/2013,955,960,955,960,275
20/12/2013,960,960,960,960,0
23/12/2013,960,960,960,960,0
24/12/2013,960,960,960,960,0
27/12/2013,960,960,960,960,0
30/12/2013,955,960,955,960,550
02/01/2014,960,960,960,960,0
03/01/2014,960,960,960,960,0
06/01/2014,960,960,960,960,0
07/01/2014,960,960,960,960,0
08/01/2014,960,960,960,960,0
09/01/2014,960,960,960,960,0
10/01/2014,960,960,960,960,0
13/01/2014,960,960,960,960,0
15/01/2014,960,960,960,960,0
16/01/2014,930,930,900,900,80
17/01/2014,900,959,900,959,170
20/01/2014,900,960,900,955,855
21/01/2014,955,955,955,955,0
22/01/2014,955,955,955,955,0
23/01/2014,955,955,955,955,0
24/01/2014,955,955,955,955,0
27/01/2014,955,955,955,955,0
28/01/2014,955,955,955,955,0
29/01/2014,955,955,955,955,0
30/01/2014,955,955,955,955,50
03/02/2014,955,955,955,955,0
04/02/2014,955,955,955,955,0
05/02/2014,955,955,955,955,0
06/02/2014,955,955,955,955,0
07/02/2014,955,955,955,955,0
10/02/2014,955,955,955,955,0
11/02/2014,955,955,955,955,0
12/02/2014,955,955,955,955,0
13/02/2014,955,955,955,955,0
14/02/2014,955,955,955,955,0
17/02/2014,955,955,955,955,0
18/02/2014,955,955,955,955,0
19/02/2014,955,955,955,955,0
20/02/2014,950,950,950,950,5
21/02/2014,950,950,950,950,0
24/02/2014,940,940,938,938,10
25/02/2014,938,938,938,938,0
26/02/2014,900,906,875,875,45
27/02/2014,875,880,841,850,300
28/02/2014,850,850,850,850,0
03/03/2014,850,850,850,850,0
04/03/2014,790,880,790,840,980
05/03/2014,840,940,840,939,1510
06/03/2014,939,939,939,939,0
07/03/2014,939,939,939,939,0
10/03/2014,939,939,939,939,0
11/03/2014,939,890,890,890,5
12/03/2014,845,845,810,810,175
13/03/2014,810,910,800,899,605
14/03/2014,899,955,823,955,475
17/03/2014,955,955,954,954,120
18/03/2014,954,954,954,954,0
19/03/2014,954,880,851,857,1055
20/03/2014,857,900,856,900,1620
21/03/2014,900,900,900,900,100
24/03/2014,900,900,900,900,0
25/03/2014,870,939,870,939,530
26/03/2014,939,940,930,940,200
27/03/2014,940,920,880,882,565
28/03/2014,882,940,895,939,1100
01/04/2014,939,919,919,919,300
02/04/2014,919,900,900,900,55
03/04/2014,900,900,891,891,305
04/04/2014,891,900,900,900,25
07/04/2014,899,900,899,900,270
08/04/2014,900,891,891,891,300
10/04/2014,891,891,891,891,350
11/04/2014,891,900,900,900,10
14/04/2014,900,900,900,900,515
15/04/2014,900,900,890,900,555
16/04/2014,900,880,880,880,5
17/04/2014,880,880,880,880,0
21/04/2014,850,850,850,850,30
22/04/2014,867,867,850,850,425
23/04/2014,850,850,850,850,0
24/04/2014,850,850,850,850,495
25/04/2014,850,850,841,841,225
28/04/2014,841,850,801,850,2415
29/04/2014,850,850,850,850,5
30/04/2014,850,900,830,900,580
02/05/2014,900,900,880,885,610
05/05/2014,885,880,872,872,560
06/05/2014,872,872,872,872,5
07/05/2014,872,940,870,905,1955
08/05/2014,870,870,870,870,1770
09/05/2014,870,920,900,920,50
12/05/2014,920,910,900,900,360
13/05/2014,900,939,900,939,155
14/05/2014,939,940,920,920,220
16/05/2014,920,901,901,901,5
19/05/2014,901,940,901,940,290
20/05/2014,940,880,862,862,100
21/05/2014,862,939,920,920,120
22/05/2014,920,940,919,940,280
23/05/2014,940,940,940,940,5
26/05/2014,940,940,940,940,0
28/05/2014,940,940,940,940,0
30/05/2014,940,960,863,960,2510
02/06/2014,960,960,960,960,0
03/06/2014,960,960,960,960,0
04/06/2014,960,990,900,990,850
05/06/2014,990,990,990,990,0
06/06/2014,990,970,960,960,255
09/06/2014,960,930,920,920,30
10/06/2014,920,900,894,896,460
11/06/2014,896,920,900,920,2110
12/06/2014,920,920,882,882,1230
13/06/2014,882,910,882,910,295
16/06/2014,910,915,910,915,1050
17/06/2014,915,915,915,915,0
18/06/2014,915,895,895,895,50
19/06/2014,895,915,895,915,550
20/06/2014,915,915,915,915,0
23/06/2014,915,960,960,960,540
24/06/2014,960,1000,940,1000,470
25/06/2014,1000,1000,1000,1000,0
26/06/2014,1000,1000,1000,1000,0
27/06/2014,1000,998,970,998,3525
30/06/2014,998,1060,980,1000,4770
01/07/2014,1000,1020,998,1020,4930
02/07/2014,1020,1020,1000,1020,4380
03/07/2014,1020,1010,940,1010,4360
04/07/2014,1010,1040,1010,1040,3405
07/07/2014,1040,1040,1030,1040,2800
08/07/2014,1040,1060,1035,1060,3080
10/07/2014,1060,1060,902,1060,2190
11/07/2014,1060,1055,1015,1015,2555
14/07/2014,1015,1025,1015,1025,1500
15/07/2014,1025,1045,1000,1045,5665
16/07/2014,1045,1060,1005,1060,6575
17/07/2014,1060,1010,1010,1010,100
18/07/2014,1010,1030,980,980,100
21/07/2014,980,1000,980,982,25
22/07/2014,982,982,982,982,0
23/07/2014,982,1035,982,999,810
24/07/2014,999,999,999,999,0
25/07/2014,999,980,980,980,500
04/08/2014,980,1000,980,1000,130
05/08/2014,1000,1000,960,970,1430
06/08/2014,970,960,960,960,145
07/08/2014,960,961,960,961,355
08/08/2014,961,960,960,960,75
11/08/2014,960,960,960,960,0
12/08/2014,960,960,960,960,65
13/08/2014,960,960,960,960,0
14/08/2014,960,1005,960,1000,2650
15/08/2014,1000,1005,1005,1005,10
18/08/2014,1005,1000,980,1000,80
19/08/2014,1000,942,940,941,30
20/08/2014,990,1000,990,1000,35
21/08/2014,960,1000,960,1000,1235
22/08/2014,1000,1000,1000,1000,0
25/08/2014,995,1000,995,1000,650
26/08/2014,1000,1005,995,1005,2155
27/08/2014,958,1000,958,1000,765
28/08/2014,1000,1000,1000,1000,350
29/08/2014,1000,1005,1000,1005,2875
01/09/2014,1010,1020,1010,1020,1150
02/09/2014,1025,1040,1020,1035,1200
03/09/2014,1035,1050,1035,1050,2560
